client_id,sexe,age,situation_familiale,nombre_enfants,niveau_etude,secteur_activite,revenu_mensuel,montant_pret,duree_pret,taux_interet,but_du_pret,historique_defaut,remboursement_pret_prec,score_credit,zone_residentielle,contact_telephone,co_emprunteur,delai_remboursement
1,M,45,Marié(e),1,Aucun,Agriculture,80894,200854,6,4.8,Urgence,Non,Oui,67,Rurale,Non,Non,Oui
2,F,24,Veuf/veuve,2,Primaire,Commerce,195540,594470,18,11.0,Achat équipement,Non,Oui,76,Rurale,Oui,Non,Oui
3,F,52,Marié(e),2,Primaire,Services,187202,422167,24,7.5,Stock,Oui,Aucun,54,Rurale,Oui,Oui,Non
4,F,45,Marié(e),1,Primaire,Agriculture,167407,545470,12,10.1,Stock,Non,Oui,54,Rurale,Oui,Oui,Oui
5,M,31,Marié(e),2,Primaire,Agriculture,208975,476175,18,16.1,Capital démarrage,Oui,Aucun,42,Urbaine,Oui,Non,Non
6,M,27,Célibataire,3,Primaire,Artisanat,254808,346838,12,14.9,Capital démarrage,Non,Oui,90,Urbaine,Non,Non,Oui
7,M,33,Marié(e),0,Secondaire,Artisanat,198604,131778,6,7.8,Achat équipement,Non,Oui,72,Urbaine,Oui,Non,Oui
8,F,33,Marié(e),2,Secondaire,Services,123500,241754,24,17.8,Achat équipement,Oui,Oui,56,Rurale,Oui,Non,Non
9,F,48,Marié(e),0,Primaire,Agriculture,294913,371057,6,16.7,Achat équipement,Oui,Aucun,55,Rurale,Non,Non,Non
10,F,59,Célibataire,0,Primaire,Commerce,169421,528847,6,11.6,Stock,Non,Aucun,49,Rurale,Oui,Oui,Non
11,M,42,Divorcé(e),1,Aucun,Agriculture,182999,197771,12,11.7,Stock,Oui,Aucun,67,Urbaine,Oui,Non,Non
12,F,30,Marié(e),1,Primaire,Agriculture,140780,116674,18,16.7,Urgence,Oui,Oui,59,Urbaine,Oui,Non,Non
13,F,23,Marié(e),3,Primaire,Commerce,115535,357357,12,13.1,Urgence,Oui,Oui,51,Rurale,Oui,Non,Non
14,M,61,Divorcé(e),3,Primaire,Agriculture,120420,147075,6,11.7,Achat équipement,Oui,Oui,53,Urbaine,Non,Oui,Non
15,M,26,Marié(e),0,Primaire,Agriculture,107232,385698,18,14.6,Achat équipement,Oui,Oui,75,Rurale,Non,Non,Non
16,M,62,Divorcé(e),0,Secondaire,Artisanat,596,194936,12,7.7,Capital démarrage,Non,Aucun,59,Urbaine,Oui,Non,Non
17,M,53,Marié(e),2,Aucun,Agriculture,170624,177029,6,16.4,Stock,Non,Aucun,46,Rurale,Non,Non,Non
18,M,60,Célibataire,1,Supérieur,Artisanat,246140,269549,12,11.7,Achat équipement,Oui,Oui,65,Rurale,Oui,Non,Non
19,M,37,Marié(e),0,Aucun,Agriculture,120941,376255,12,12.6,Stock,Oui,Aucun,54,Rurale,Oui,Oui,Non
20,M,35,Marié(e),1,Supérieur,Artisanat,333569,349924,12,5.7,Achat équipement,Non,Oui,74,Rurale,Oui,Oui,Oui
21,F,60,Marié(e),1,Primaire,Agriculture,263182,184603,18,8.7,Urgence,Oui,Oui,87,Rurale,Oui,Oui,Non
22,M,38,Divorcé(e),1,Primaire,Artisanat,178906,540114,18,10.3,Achat équipement,Non,Oui,35,Rurale,Oui,Oui,Non
23,M,21,Marié(e),3,Primaire,Agriculture,113335,110435,12,10.1,Urgence,Oui,Oui,54,Rurale,Oui,Non,Non
24,M,67,Marié(e),0,Aucun,Commerce,84174,71707,6,15.0,Capital démarrage,Oui,Non,67,Rurale,Oui,Non,Non
25,M,50,Veuf/veuve,0,Primaire,Artisanat,173178,381488,6,8.3,Capital démarrage,Oui,Oui,63,Urbaine,Non,Non,Non
26,F,44,Marié(e),0,Aucun,Agriculture,184087,117873,12,7.0,Capital démarrage,Oui,Aucun,83,Rurale,Non,Oui,Non
27,M,24,Marié(e),2,Secondaire,Agriculture,167736,327689,6,12.4,Achat équipement,Non,Oui,64,Rurale,Oui,Non,Oui
28,M,23,Veuf/veuve,0,Primaire,Artisanat,244159,573475,12,12.8,Capital démarrage,Oui,Oui,68,Rurale,Oui,Non,Non
29,F,32,Célibataire,1,Secondaire,Artisanat,269824,434219,6,6.1,Achat équipement,Non,Oui,71,Urbaine,Non,Non,Oui
30,M,35,Marié(e),2,Aucun,Agriculture,208360,389601,12,4.5,Stock,Non,Aucun,54,Urbaine,Oui,Oui,Oui
31,F,49,Veuf/veuve,1,Supérieur,Agriculture,211587,366142,12,16.9,Urgence,Non,Non,72,Rurale,Non,Oui,Oui
32,M,28,Marié(e),3,Primaire,Agriculture,161066,148746,6,5.6,Stock,Oui,Aucun,71,Rurale,Oui,Non,Non
33,M,37,Marié(e),1,Aucun,Agriculture,179704,287956,12,16.6,Achat équipement,Oui,Oui,66,Rurale,Oui,Non,Non
34,F,41,Marié(e),1,Primaire,Services,204698,238387,12,9.9,Capital démarrage,Non,Oui,36,Urbaine,Oui,Non,Non
35,F,32,Marié(e),2,Aucun,Commerce,160995,574190,18,13.3,Urgence,Oui,Oui,53,Urbaine,Oui,Non,Non
36,F,65,Veuf/veuve,1,Aucun,Commerce,219650,183276,12,7.0,Capital démarrage,Non,Oui,67,Urbaine,Oui,Non,Oui
